pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=2,sr<=70%,kvB<=64k,kp<=2k,1.0271,2
16,n<=2,sr<=70%,kvB<=64k,kp<=32k,0.9486,1
16,n<=2,sr<=70%,kvB<=64k,kp<=512,0.9979,2
16,n<=2,sr<=70%,kvB<=64k,kp<=8k,1.0063,2
16,n<=2,sr<=70%,kvB<=64k,kp=0,1.0032,2
16,n<=32,sr<=15%,kvB<=16k,kp<=16k,-0.0664,6
16,n<=32,sr<=15%,kvB<=16k,kp<=2k,-0.116,6
16,n<=32,sr<=15%,kvB<=16k,kp<=32k,0.4376,6
16,n<=32,sr<=15%,kvB<=16k,kp<=512,0.1439,6
16,n<=32,sr<=15%,kvB<=16k,kp<=8k,0.2018,6
16,n<=32,sr<=15%,kvB<=16k,kp=0,0.2971,6
16,n<=32,sr<=15%,kvB<=1k,kp<=16k,0.0647,6
16,n<=32,sr<=15%,kvB<=1k,kp<=2k,0.2206,6
16,n<=32,sr<=15%,kvB<=1k,kp<=32k,0.0369,6
16,n<=32,sr<=15%,kvB<=1k,kp<=512,0.1974,6
16,n<=32,sr<=15%,kvB<=1k,kp<=8k,-0.0479,6
16,n<=32,sr<=15%,kvB<=1k,kp=0,0.4606,6
16,n<=32,sr<=15%,kvB<=4k,kp<=16k,0.5513,6
16,n<=32,sr<=15%,kvB<=4k,kp<=2k,0.185,6
16,n<=32,sr<=15%,kvB<=4k,kp<=32k,-0.1052,6
16,n<=32,sr<=15%,kvB<=4k,kp<=512,-0.2022,6
16,n<=32,sr<=15%,kvB<=4k,kp<=8k,0.443,6
16,n<=32,sr<=15%,kvB<=4k,kp=0,0.3761,6
16,n<=32,sr<=15%,kvB<=64k,kp<=16k,0.2467,3
16,n<=32,sr<=15%,kvB<=64k,kp<=2k,0.1482,6
16,n<=32,sr<=15%,kvB<=64k,kp<=32k,0.2281,6
16,n<=32,sr<=15%,kvB<=64k,kp<=512,0.2307,6
16,n<=32,sr<=15%,kvB<=64k,kp<=8k,-0.1081,6
16,n<=32,sr<=15%,kvB<=64k,kp=0,0.2701,6
16,n<=32,sr<=40%,kvB<=16k,kp<=16k,0.0119,2
16,n<=32,sr<=40%,kvB<=16k,kp<=2k,0.046,2
16,n<=32,sr<=40%,kvB<=16k,kp<=32k,0.8779,2
16,n<=32,sr<=40%,kvB<=16k,kp<=512,-0.0049,2
16,n<=32,sr<=40%,kvB<=16k,kp<=8k,0.071,2
16,n<=32,sr<=40%,kvB<=16k,kp=0,0.1849,2
