prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,32,1,32,27.0238
16,32,1,64,27.9408
16,32,1,128,29.3602
16,32,1,256,36.7735
16,32,1,512,37.4878
16,32,1,1024,38.9862
16,32,1,2048,42.5338
16,32,1,4096,48.485
16,32,1,8192,61.808
16,32,1,16384,87.5043
16,32,1,32768,139.334
16,32,1,65536,242.283
16,32,2,16,26.9015
16,32,2,32,26.8538
16,32,2,64,27.8455
16,32,2,128,29.4077
16,32,2,256,35.125
16,32,2,512,36.2562
16,32,2,1024,38.154
16,32,2,2048,41.4345
16,32,2,4096,48.0002
16,32,2,8192,60.7885
16,32,2,16384,87.3005
16,32,2,32768,138.613
16,32,2,65536,241.542
16,32,4,16,26.96
16,32,4,32,26.768
16,32,4,64,28.0638
16,32,4,128,29.7922
16,32,4,256,36.8322
16,32,4,512,38.6348
16,32,4,1024,39.9253
16,32,4,2048,44.1063
16,32,4,4096,50.7893
16,32,4,8192,63.6855
16,32,4,16384,89.921
16,32,4,32768,141.894
16,32,4,65536,245.75
16,32,8,16,26.939
16,32,8,32,27.0457
16,32,8,64,28.3577
16,32,8,128,29.8777
16,32,8,256,37.3492
16,32,8,512,38.3467
16,32,8,1024,40.1605
16,32,8,2048,44.2987
16,32,8,4096,51.371
16,32,8,8192,65.051
16,32,8,16384,92.1973
16,32,8,32768,145.061
16,32,8,65536,251.451
16,32,16,16,27.8773
16,32,16,32,28.1653
16,32,16,64,28.8803
16,32,16,128,30.5232
16,32,16,256,40.4168
16,32,16,512,41.3388
16,32,16,1024,44.6078
16,32,16,2048,50.0112
16,32,16,4096,65.1575
16,32,16,8192,83.8825
16,32,16,16384,116.748
16,32,16,32768,182.789
16,32,16,65536,316.022
16,32,32,16,29.0718
16,32,32,32,29.019
16,32,32,64,30.832
16,32,32,128,32.1822
16,32,32,256,44.3947
16,32,32,512,48.496
16,32,32,1024,59.5148
16,32,32,2048,69.6535
16,32,32,4096,87.4717
16,32,32,8192,122.118
16,32,32,16384,187.083
16,32,32,32768,316.987
16,32,32,65536,587.227
16,32,64,16,29.9413
16,32,64,32,29.9572
16,32,64,64,31.7223
16,32,64,128,33.2157
16,32,64,256,60.1173
16,32,64,512,65.4452
16,32,64,1024,76.1922
16,32,64,2048,95.1043
16,32,64,4096,128.72
16,32,64,8192,195.51
16,32,64,16384,326.347
16,32,64,32768,594.518
16,32,64,65536,1133.92
16,32,128,16,39.28
16,32,128,32,39.9145
16,32,128,64,41.13
16,32,128,128,44.2512
16,32,128,256,63.088
16,32,128,512,74.5875
16,32,128,1024,93.0563
16,32,128,2048,125.915
16,32,128,4096,190.774
16,32,128,8192,322.512
16,32,128,16384,590.576
16,32,128,32768,1126.55
16,32,128,65536,2197.23
16,64,0,0,29.717
16,64,1,16,28.4325
16,64,1,32,28.4533
16,64,1,64,28.5008
16,64,1,128,29.3813
16,64,1,256,38.3735
16,64,1,512,39.424
16,64,1,1024,40.8062
16,64,1,2048,43.4617
16,64,1,4096,49.6803
16,64,1,8192,61.4192
16,64,1,16384,87.3012
16,64,1,32768,139.578
16,64,1,65536,243.221
16,64,2,16,28.4048
16,64,2,32,28.5552
16,64,2,64,28.603
16,64,2,128,29.3598
16,64,2,256,37.9307
16,64,2,512,38.5062
16,64,2,1024,40.3628
16,64,2,2048,42.9648
16,64,2,4096,47.8295
16,64,2,8192,60.576
16,64,2,16384,87.1097
16,64,2,32768,138.816
16,64,2,65536,242.736
16,64,4,16,28.5068
16,64,4,32,28.4215
16,64,4,64,28.5652
16,64,4,128,29.44
16,64,4,256,39.0775
16,64,4,512,39.4132
16,64,4,1024,41.3497
16,64,4,2048,43.919
16,64,4,4096,50.4802
16,64,4,8192,63.8137
16,64,4,16384,89.7767
16,64,4,32768,141.867
16,64,4,65536,244.907
16,64,8,16,28.6455
16,64,8,32,28.635
16,64,8,64,28.6453
16,64,8,128,29.6902
16,64,8,256,39.558
16,64,8,512,39.9305
16,64,8,1024,40.3043
16,64,8,2048,44.2138
16,64,8,4096,51.856
16,64,8,8192,65.7553
16,64,8,16384,92.1763
16,64,8,32768,145.243
16,64,8,65536,251.44
16,64,16,16,29.2587
16,64,16,32,29.1625
16,64,16,64,29.2793
16,64,16,128,30.5008
16,64,16,256,44.7733
16,64,16,512,41.312
16,64,16,1024,45.0078
16,64,16,2048,50.0272
16,64,16,4096,70.187
16,64,16,8192,85.6377
16,64,16,16384,118.245
16,64,16,32768,184.939
16,64,16,65536,315.355
16,64,32,16,30.6293
16,64,32,32,30.4315
16,64,32,64,30.9012
16,64,32,128,32.3357
16,64,32,256,45.1253
16,64,32,512,48.8055
16,64,32,1024,64.3468
16,64,32,2048,71.5573
16,64,32,4096,88.4107
16,64,32,8192,123.082
16,64,32,16384,188.374
16,64,32,32768,320.177
